lat,lon,count_A,count_B,count_C,location
42.24,-83.5997,2,50,0,YPSILANTI
42.3231,-83.0689,2,0,0,DETROIT - W LAFAYETT
41.833099,-73.303299,14,38,0,Cornwall
42.325197,-71.056056,3,49,0,Boston-Von Hillern
40.9359,117.963,2,50,0,开发区
41.1042,121.835,16,36,0,新生街道
41.0833,122.9481,25,27,0,铁西工业园区
41.0228,123.1289,25,27,0,千山
41.2553,123.15,1,51,0,新华园
41.492191,-81.678552,19,32,0,G.T.Craig
41.615,-71.7197,26,26,0,W Greenwich
41.1475,-8.658889,2,44,0,PT01050
40.5905,110.0067,30,22,0,东河城环局
40.8062,111.7277,16,36,0,二十九中
40.1269,113.2661,12,40,0,安家小村
40.8725,114.904,10,42,0,北泵房
40.1952,116.23,2,50,0,昌平镇
40.2865,116.17,26,29,0,定陵
40.7136,120.9092,7,45,0,龙港区
40.7094,122.2703,3,49,0,大庆路
40.4531,-122.2978,39,1,0,Anderson
40.662841,-111.901796,2,3,0,NR
40.4147,-104.7061,10,39,0,Greeley Hospital
40.812558,-96.675733,31,21,0,LLCHD BAM
40.125557,-85.652222,4,47,0,Anderson-Eastside El
40.771,-84.0539,19,23,0,Lima
40.366452,-80.615691,13,39,0,Steubenville
40.323898,-79.868301,18,4,0,Liberty (SAHS)
40.3097,-78.9158,8,37,0,Johnstown
40.246992,-76.846988,5,47,0,Harrisburg
40.7375,-73.8244,6,28,0,Queens
39.4365,75.9435,5,47,0,市环境监测站
39.7294,98.5023,14,38,0,富康家世界子站
39.643,118.144,1,51,0,雷达站
39.617,122.011,27,8,0,东山公园
40.1194,124.3678,10,42,0,民主桥
39.808334,-120.471664,35,17,0,Portola
39.8669,-88.9256,38,9,0,DECATUR
40.0439,-76.1125,25,27,0,Lancaster DW
39.8356,-75.3725,13,39,0,Chester
39.46487,-74.448738,1,51,0,Brigantine
38.951111111,121.565,1,51,0,周水子
38.91661,-122.6084,2,0,0,EBAM6 - Konocti Elem
39.166,-120.1488,35,17,0,Tahoe City
39.063599,-108.561096,4,35,0,Grand Junction - Pow
39.1175,-94.6356,24,19,0,WY/KC
39.146025,-84.538375,30,22,0,Cincinnati Near Road
38.79471,-83.533988,17,33,0,West Union
38.895683,-76.958089,9,42,0,RIVER_Terrace
38.894749,-76.953427,11,41,0,DCNearRoad
39.305199,-75.797203,15,37,0,Millington
38.663611,-9.157778,1,50,0,PT03083
37.9311,102.6219,5,47,0,监测站
37.9648,106.1532,5,47,0,教育园区
38.2911,109.7456,24,28,0,世纪广场
38.4928,112.7003,9,43,0,会展中心
38.1398,114.5019,6,46,0,西北水源
38.613804,-121.368007,7,45,0,Arden Arcade - Del P
37.9508,-121.2675,7,9,0,Stockton - Hazelton
38.4592,-82.6339,7,45,0,FIVCO
38.615,-7.3975,7,45,0,PT04006
37.5136,111.1297,22,30,0,自来水公司
37.7124,112.469,24,28,0,晋源
37.4442,118.5857,3,49,0,耿井村
37.154,122.471,13,39,0,荣成市环保局办公楼
37.7064,-85.8517,9,43,0,ETOWN2
37.55652,-77.40027,7,30,0,MATH & SCIENCE CTR
36.9639,100.9048,14,38,0,海晏县西海镇
37.0172,105.18,16,36,0,官桥站
36.6028,109.4761,5,47,0,延大医附院
37.062,114.4854,4,48,0,市环保局
37.0967,114.4821,13,39,0,达活泉
36.864,118.78,9,43,0,世纪学校
37.067003,-122.057206,12,21,0,Zayante Fire Station
37.0481,-122.074603,14,19,0,Felton Cal-Fire
36.785378,-119.773206,1,15,0,Fresno - Garland
37.015,-7.926667,20,32,0,PT05007
36.1031,103.631,46,6,0,兰炼宾馆
36.0417,111.4917,31,21,0,尧庙镇
35.7672,115.0628,6,46,0,油田运输公司
36.1942,117.1436,2,50,0,监测站
